Title,Author,Date,Link
That I Might Draw All Men unto Me,Dale G. Renlund,2016-04,https://www.lds.org/general-conference/2016/04/that-i-might-draw-all-men-unto-me?lang=eng
The Sustaining of Church Officers,Dieter F. Uchtdorf,2016-04,https://www.lds.org/general-conference/2016/04/the-sustaining-of-church-officers?lang=eng
Church Auditing Department Report 2015,Kevin R. Jergensen,2016-04,https://www.lds.org/general-conference/2016/04/church-auditing-department-report-2015?lang=eng
Statistical Report 2015,Brook P. Hales,2016-04,https://www.lds.org/general-conference/2016/04/statistical-report-2015?lang=eng
Standing with the Leaders of the Church,Ronald A. Rasband,2016-04,https://www.lds.org/general-conference/2016/04/standing-with-the-leaders-of-the-church?lang=eng
Whoso Receiveth Them Receiveth Me,Neil L. Andersen,2016-04,https://www.lds.org/general-conference/2016/04/whoso-receiveth-them-receiveth-me?lang=eng
To the Rescue: We Can Do It,Mervyn B. Arnold,2016-04,https://www.lds.org/general-conference/2016/04/to-the-rescue-we-can-do-it?lang=eng
The Sacred Place of Restoration,Jairo Mazzagardi,2016-04,https://www.lds.org/general-conference/2016/04/the-sacred-place-of-restoration?lang=eng
Always Retain a Remission of Your Sins,David A. Bednar,2016-04,https://www.lds.org/general-conference/2016/04/always-retain-a-remission-of-your-sins?lang=eng
Family Councils,M. Russell Ballard,2016-04,https://www.lds.org/general-conference/2016/04/family-councils?lang=eng
The Price of Priesthood Power,Russell M. Nelson,2016-04,https://www.lds.org/general-conference/2016/04/the-price-of-priesthood-power?lang=eng
The Greatest Leaders Are the Greatest Followers,Stephen W. Owen,2016-04,https://www.lds.org/general-conference/2016/04/the-greatest-leaders-are-the-greatest-followers?lang=eng
In Praise of Those Who Save,Dieter F. Uchtdorf,2016-04,https://www.lds.org/general-conference/2016/04/in-praise-of-those-who-save?lang=eng
Eternal Families,Henry B. Eyring,2016-04,https://www.lds.org/general-conference/2016/04/eternal-families?lang=eng
A Sacred Trust,Thomas S. Monson,2016-04,https://www.lds.org/general-conference/2016/04/a-sacred-trust?lang=eng
Choices,Thomas S. Monson,2016-04,https://www.lds.org/general-conference/2016/04/choices?lang=eng
Do I Believe,Bonnie L. Oscarson,2016-04,https://www.lds.org/general-conference/2016/04/do-i-believe?lang=eng
A Pattern for Peace,W. Christopher Waddell,2016-04,https://www.lds.org/general-conference/2016/04/a-pattern-for-peace?lang=eng
Fathers,D. Todd Christofferson,2016-04,https://www.lds.org/general-conference/2016/04/fathers?lang=eng
See Yourself in the Temple,Quentin L. Cook,2016-04,https://www.lds.org/general-conference/2016/04/see-yourself-in-the-temple?lang=eng
He Will Place You on His Shoulders and Carry You Home,Dieter F. Uchtdorf,2016-04,https://www.lds.org/general-conference/2016/04/he-will-place-you-on-his-shoulders-and-carry-you-home?lang=eng
The Holy Ghost,Robert D. Hales,2016-04,https://www.lds.org/general-conference/2016/04/the-holy-ghost?lang=eng
Always Remember Him,Gerrit W. Gong,2016-04,https://www.lds.org/general-conference/2016/04/always-remember-him?lang=eng
Refuge from the Storm,Patrick Kearon,2016-04,https://www.lds.org/general-conference/2016/04/refuge-from-the-storm?lang=eng
Opposition in All Things,Dallin H. Oaks,2016-04,https://www.lds.org/general-conference/2016/04/opposition-in-all-things?lang=eng
The Power of Godliness,Kent F. Richards,2016-04,https://www.lds.org/general-conference/2016/04/the-power-of-godliness?lang=eng
And There Shall Be No More Death,Paul V. Johnson,2016-04,https://www.lds.org/general-conference/2016/04/and-there-shall-be-no-more-death?lang=eng
Tomorrow the Lord Will Do Wonders among You,Jeffrey R. Holland,2016-04,https://www.lds.org/general-conference/2016/04/tomorrow-the-lord-will-do-wonders-among-you?lang=eng
I Will Bring the Light of the Gospel into My Home,Jean B. Bingham,2016-10,https://www.lds.org/general-conference/2016/10/i-will-bring-the-light-of-the-gospel-into-my-home?lang=eng
The Master Healer,Carole M. Stephens,2016-10,https://www.lds.org/general-conference/2016/10/the-master-healer?lang=eng
Rise Up in Strength Sisters in Zion,Bonnie L. Oscarson,2016-10,https://www.lds.org/general-conference/2016/10/rise-up-in-strength-sisters-in-zion?lang=eng
Fourth Floor Last Door,Dieter F. Uchtdorf,2016-10,https://www.lds.org/general-conference/2016/10/fourth-floor-last-door?lang=eng
O How Great the Plan of Our God,Dieter F. Uchtdorf,2016-10,https://www.lds.org/general-conference/2016/10/o-how-great-the-plan-of-our-god?lang=eng
Come Follow Me by Practicing Christian Love and Service,Robert D. Hales,2016-10,https://www.lds.org/general-conference/2016/10/come-follow-me-by-practicing-christian-love-and-service?lang=eng
The Souls Sincere Desire,Carol F. McConkie,2016-10,https://www.lds.org/general-conference/2016/10/the-souls-sincere-desire?lang=eng
A Choice Seer Will I Raise Up,Craig C. Christensen,2016-10,https://www.lds.org/general-conference/2016/10/a-choice-seer-will-i-raise-up?lang=eng
The Lord Jesus Christ Teaches Us to Pray,Juan A. Uceda,2016-10,https://www.lds.org/general-conference/2016/10/the-lord-jesus-christ-teaches-us-to-pray?lang=eng
Am I Good Enough Will I Make It,J. Devn Cornish,2016-10,https://www.lds.org/general-conference/2016/10/am-i-good-enough-will-i-make-it?lang=eng
A Witness of God,Neil L. Andersen,2016-10,https://www.lds.org/general-conference/2016/10/a-witness-of-god?lang=eng
The Sustaining of Church Officers,Henry B. Eyring,2016-10,https://www.lds.org/general-conference/2016/10/the-sustaining-of-church-officers?lang=eng
Valiant in the Testimony of Jesus,Quentin L. Cook,2016-10,https://www.lds.org/general-conference/2016/10/valiant-in-the-testimony-of-jesus?lang=eng
Look to the Book Look to the Lord,Gary E. Stevenson,2016-10,https://www.lds.org/general-conference/2016/10/look-to-the-book-look-to-the-lord?lang=eng
Abide in My Love,D. Todd Christofferson,2016-10,https://www.lds.org/general-conference/2016/10/abide-in-my-love?lang=eng
For Our Spiritual Development and Learning,W. Mark Bassett,2016-10,https://www.lds.org/general-conference/2016/10/for-our-spiritual-development-and-learning?lang=eng
Be Ambitious for Christ,Kazuhiko Yamashita,2016-10,https://www.lds.org/general-conference/2016/10/be-ambitious-for-christ?lang=eng
Sharing the Restored Gospel,Dallin H. Oaks,2016-10,https://www.lds.org/general-conference/2016/10/sharing-the-restored-gospel?lang=eng
Emissaries to the Church,Jeffrey R. Holland,2016-10,https://www.lds.org/general-conference/2016/10/emissaries-to-the-church?lang=eng
There Is Power in the Book,LeGrand R. Curtis Jr.,2016-10,https://www.lds.org/general-conference/2016/10/there-is-power-in-the-book?lang=eng
Learn from Alma and Amulek,Dieter F. Uchtdorf,2016-10,https://www.lds.org/general-conference/2016/10/learn-from-alma-and-amulek?lang=eng
